-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 04/26/2020 through 10/22/2020,,,,,,,,,,,
Location: Latitude  40.7412   Longitude -74.0398,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
40.74121,-74.03979,2020,6,18,10.2,20.69,17.51,17.47,25.35,15.15,20.38
40.74121,-74.03979,2020,6,19,10.55,21.92,17.8,17.73,26.68,16.14,21.77
40.74121,-74.03979,2020,6,20,8.72,22.06,19.03,18.99,26.27,17.55,22.13
40.74121,-74.03979,2020,6,21,10.12,23.24,19.3,19.24,27.92,17.8,23.19
40.74121,-74.03979,2020,6,22,11.72,25.05,19.59,19.48,30.62,18.9,24.99
40.74121,-74.03979,2020,6,23,10.3,24.82,20.13,20.05,29.47,19.16,24.63
40.74121,-74.03979,2020,6,24,8.7,23.85,18.02,17.66,28.2,19.49,23.9
40.74121,-74.03979,2020,6,25,10.8,23.62,16.07,15.79,28.86,18.06,23.5
40.74121,-74.03979,2020,6,26,11.79,23.44,15.8,15.58,29.18,17.39,23.39
40.74121,-74.03979,2020,6,27,9.82,23.4,19.66,19.54,28.56,18.73,23.53
40.74121,-74.03979,2020,6,28,11.49,25.51,20.17,20.02,31.41,19.92,25.61
40.74121,-74.03979,2020,6,29,10.84,24.17,18.39,18.26,29.55,18.71,24.07
40.74121,-74.03979,2020,6,30,8.39,22.52,17.79,17.71,26.03,17.64,22.22
40.74121,-74.03979,2020,7,1,8.91,23.28,18.42,18.3,27.58,18.67,23.05
40.74121,-74.03979,2020,7,2,13.93,25.67,18.92,18.77,32.3,18.37,25.6
40.74121,-74.03979,2020,7,3,10.04,26.13,20.48,20.33,32.13,22.08,26.16
40.74121,-74.03979,2020,7,4,10.53,25.38,19,18.82,30.64,20.12,25.02
40.74121,-74.03979,2020,7,5,12.93,26.59,18.69,18.4,32.63,19.71,26.83
40.74121,-74.03979,2020,7,6,12.85,27.24,19.37,19.05,34.41,21.56,27.14
40.74121,-74.03979,2020,7,7,7.35,24.62,21.33,21.29,28.51,21.16,24.31
40.74121,-74.03979,2020,7,8,5.79,25.09,22.18,22.16,27.82,22.03,25
40.74121,-74.03979,2020,7,9,10.76,26.95,21.45,21.27,32.17,21.41,26.73
40.74121,-74.03979,2020,7,10,2.59,23.57,22.68,22.71,24.71,22.12,23.49
40.74121,-74.03979,2020,7,11,6.65,24.89,22.63,22.62,28.22,21.56,24.84
40.74121,-74.03979,2020,7,12,9.31,24.74,19.89,19.79,29.31,19.99,24.7
40.74121,-74.03979,2020,7,13,8.42,23.85,19.52,19.42,28.68,20.26,23.86
40.74121,-74.03979,2020,7,14,10.25,24.03,18.14,18.01,28.67,18.43,23.88
40.74121,-74.03979,2020,7,15,8.8,23.59,18.53,18.46,27.72,18.92,23.04
40.74121,-74.03979,2020,7,16,7.01,22.46,17.05,16.97,25.81,18.8,21.85
40.74121,-74.03979,2020,7,17,10.95,24.38,20.96,20.8,29.96,19.01,24.27
40.74121,-74.03979,2020,7,18,14.02,26.33,18.95,18.71,32.99,18.97,26.35
40.74121,-74.03979,2020,7,19,10.87,27.41,20.49,20.26,32.71,21.84,27.3
40.74121,-74.03979,2020,7,20,10.33,27.33,21.76,21.49,33.06,22.73,27.49
40.74121,-74.03979,2020,7,21,12.28,27.62,19.4,19.11,33.49,21.21,27.55
40.74121,-74.03979,2020,7,22,9.89,27.53,22.77,22.6,32.94,23.04,27.4
40.74121,-74.03979,2020,7,23,7.71,26.48,22.74,22.67,30.37,22.66,26.3
40.74121,-74.03979,2020,7,24,3.25,23.5,21.64,21.6,24.96,21.7,23.49
40.74121,-74.03979,2020,7,25,11.29,25.99,20.19,20.02,30.89,19.6,25.84
40.74121,-74.03979,2020,7,26,10.85,26.97,20.38,20.19,32.42,21.57,26.92
40.74121,-74.03979,2020,7,27,12.16,27.8,20.08,19.88,33.63,21.47,27.8
40.74121,-74.03979,2020,7,28,10.39,27.45,20.69,20.52,32.66,22.28,27.41
40.74121,-74.03979,2020,7,29,11,27.4,18.88,18.6,32.86,21.86,27.22
40.74121,-74.03979,2020,7,30,9.92,25.68,18.74,18.48,30.86,20.94,25.9
40.74121,-74.03979,2020,7,31,7.05,24.58,20.25,20.13,28.24,21.19,24.34
40.74121,-74.03979,2020,8,1,11.99,26.21,18.49,18.24,31.71,19.72,25.87
40.74121,-74.03979,2020,8,2,7.66,25.86,22.55,22.49,29.62,21.96,25.84
40.74121,-74.03979,2020,8,3,9.36,26.28,19.34,19.02,31.21,21.85,26.2
40.74121,-74.03979,2020,8,4,4.04,23.38,21.88,21.88,25.31,21.27,23.55
40.74121,-74.03979,2020,8,5,9.01,23.77,19.13,18.98,28.71,19.71,23.94
40.74121,-74.03979,2020,8,6,7.83,21.78,17.64,17.47,25.74,17.91,21.93
40.74121,-74.03979,2020,8,7,5.36,21.95,19.69,19.64,24.83,19.47,21.83
40.74121,-74.03979,2020,8,8,9.1,24.13,19.94,19.86,28.41,19.31,23.78
40.74121,-74.03979,2020,8,9,10.59,24.49,20.28,20.19,29.44,18.85,24.29
40.74121,-74.03979,2020,8,10,11.47,26.33,21.12,20.99,31.94,20.46,26.21
40.74121,-74.03979,2020,8,11,9.28,26.25,22.17,22.09,30.83,21.55,26.04
40.74121,-74.03979,2020,8,12,8.87,26.66,22.59,22.48,31.2,22.33,26.71
40.74121,-74.03979,2020,8,13,3.81,23.38,21.13,21.05,25.52,21.71,23.46
40.74121,-74.03979,2020,8,14,9.53,24.5,19.32,19.18,29.69,20.16,24.53
